   program version netid     address                service    owner
    100000    4    tcp6      ::.0.111               portmapper superuser
    100000    3    tcp6      ::.0.111               portmapper superuser
    100000    4    udp6      ::.0.111               portmapper superuser
    100000    3    udp6      ::.0.111               portmapper superuser
    100000    4    tcp       0.0.0.0.0.111          portmapper superuser
    100000    3    tcp       0.0.0.0.0.111          portmapper superuser
    100000    2    tcp       0.0.0.0.0.111          portmapper superuser
    100000    4    udp       0.0.0.0.0.111          portmapper superuser
    100000    3    udp       0.0.0.0.0.111          portmapper superuser
    100000    2    udp       0.0.0.0.0.111          portmapper superuser
    100000    4    local     /run/rpcbind.sock      portmapper superuser
    100000    3    local     /run/rpcbind.sock      portmapper superuser
    100005    1    udp       0.0.0.0.148.61         mountd     superuser
    100005    1    tcp       0.0.0.0.210.229        mountd     superuser
    100005    1    udp6      ::.136.210             mountd     superuser
    100005    1    tcp6      ::.189.233             mountd     superuser
    100005    2    udp       0.0.0.0.211.144        mountd     superuser
    100005    2    tcp       0.0.0.0.145.207        mountd     superuser
    100005    2    udp6      ::.139.233             mountd     superuser
    100005    2    tcp6      ::.145.33              mountd     superuser
    100005    3    udp       0.0.0.0.233.47         mountd     superuser
    100005    3    tcp       0.0.0.0.136.29         mountd     superuser
    100005    3    udp6      ::.163.40              mountd     superuser
    100005    3    tcp6      ::.183.97              mountd     superuser
    100003    3    tcp       0.0.0.0.8.1            nfs        superuser
    100003    4    tcp       0.0.0.0.8.1            nfs        superuser
    100227    3    tcp       0.0.0.0.8.1            nfs_acl    superuser
    100003    3    udp       0.0.0.0.8.1            nfs        superuser
    100227    3    udp       0.0.0.0.8.1            nfs_acl    superuser
    100003    3    tcp6      ::.8.1                 nfs        superuser
    100003    4    tcp6      ::.8.1                 nfs        superuser
    100227    3    tcp6      ::.8.1                 nfs_acl    superuser
    100003    3    udp6      ::.8.1                 nfs        superuser
    100227    3    udp6      ::.8.1                 nfs_acl    superuser
    100021    1    udp       0.0.0.0.219.150        nlockmgr   superuser
    100021    3    udp       0.0.0.0.219.150        nlockmgr   superuser
    100021    4    udp       0.0.0.0.219.150        nlockmgr   superuser
    100021    1    tcp       0.0.0.0.131.217        nlockmgr   superuser
    100021    3    tcp       0.0.0.0.131.217        nlockmgr   superuser
    100021    4    tcp       0.0.0.0.131.217        nlockmgr   superuser
    100021    1    udp6      ::.166.216             nlockmgr   superuser
    100021    3    udp6      ::.166.216             nlockmgr   superuser
    100021    4    udp6      ::.166.216             nlockmgr   superuser
    100021    1    tcp6      ::.150.237             nlockmgr   superuser
    100021    3    tcp6      ::.150.237             nlockmgr   superuser
    100021    4    tcp6      ::.150.237             nlockmgr   superuser
